date,price_usd,volume_usd,market_cap_usd
2026-05-14,9.27,41245077.79409851,1450681758.7356997
2026-05-15,9.3,43799325.36661448,1456555644.8251853
2026-05-16,9.13,55662506.86329222,1430829366.2528803
2026-05-17,9.06,51118764.94087192,1418629260.7293532
2026-05-18,8.85,40927460.43205683,1385558890.388774
2026-05-19,8.91,43303704.22723027,1395104064.3720481
2026-05-20,8.97,44899333.90611609,1404959418.1436174
2026-05-21,8.99,31465855.574785177,1408171704.4298344
2026-05-22,9.11,35214474.199899346,1427441532.9156559
2026-05-23,8.83,63190224.26092774,1382130061.401166
2026-05-24,8.96,43627351.97559867,1403023054.7716062
2026-05-25,8.97,31687171.022315525,1406894570.2510922
2026-05-26,8.87,26366065.7608146,1388425533.6782217
2026-05-27,8.65,44879710.65195959,1353922720.4571543
2026-05-28,8.17,40301895.789740324,1279529411.4241362
2026-05-29,8.23,44300596.68423167,1285483470.6724067
2026-05-30,8.26,44610967.51285576,1292988820.6334944
2026-05-31,8.23,35485242.3448529,1289181465.6922462
2026-06-01,8.05,49918538.866497084,1259916057.849023
2026-06-02,7.98,35969098.33260031,1248441195.657347
2026-06-03,7.93,60758031.75340128,1240912545.8757942
2026-06-04,7.53,43864879.77297492,1178283233.2962513
2026-06-05,6.95,49861850.42996349,1090125431.5603251
2026-06-06,6.67,63159023.446073666,1044411403.699104
2026-06-07,7.01,37924642.303500034,1095665567.3233857
2026-06-08,7.05,28965067.689215466,1103108980.599073
2026-06-09,7.07,28559636.854441393,1108319762.2204826
2026-06-10,6.92,23993899.016481783,1083206267.6014223
2026-06-11,7.11,29082910.345398393,1113373487.023963
2026-06-12,7.24,31387988.242335744,1132813040.347681
2026-06-13,7.12,29353857.303260144,1114818925.2604496
2026-06-14,7.14,25507787.138728876,1118738947.1422186
2026-06-15,7.25,33939489.2300847,1134582487.5261295
2026-06-16,7.39,53760410.97278248,1156321550.2303154
2026-06-17,7.4,39963875.5383102,1159249108.582325
2026-06-18,7.18,36814742.051718615,1124668755.518266
2026-06-19,7.13,43391994.31635396,1116304168.0916128
2026-06-20,7.59,80536032.89750674,1189202681.997624
2026-06-21,7.41,50552657.77151838,1157957081.88605
2026-06-22,7.3,27653714.507667016,1140809044.3192062
2026-06-23,7.09,41722719.59189073,1109223406.4035916
2026-06-24,7.08,44638105.90061056,1109300294.485168
2026-06-25,7.1,59629063.025617704,1111212542.4518027
2026-06-26,6.93,50649933.049377576,1085476080.4397109
2026-06-27,7.28,44279033.46020452,1139254261.9089582
2026-06-28,7.09,29887409.48516493,1111010547.7901847
2026-06-29,7.05,28928899.286414616,1103828636.9256494
2026-06-30,7.02,31898360.18492986,1099723390.8353984
2026-07-01,6.91,35969941.86223203,1081030942.9226809
2026-07-02,7.02,37435419.159697495,1098771830.5343797
2026-07-03,7.09,29670486.53362171,1110404612.1188557
2026-07-04,7.16,30868661.817184754,1121354169.5419667
2026-07-05,7.08,29740340.266691472,1108509563.4526772
2026-07-06,7.06,29462688.449124705,1105958212.690128
2026-07-07,7.03,31334782.441648304,1100593712.2891774
2026-07-08,6.9,36047629.20318249,1078670394.2035801
2026-07-09,7.0,33036182.79396546,1095335744.6732526
2026-07-10,7.08,26226274.238125358,1108429394.3525784
2026-07-11,7.1,25936361.273913324,1112328485.2397444
